Selected_IDs,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity,Property_Diversity,Composite_Score
1;12;86;101;118;140;236;318,6.81531371875,3.4642829289766572,0.0,16.961409272393244,3.9156689530226463,0.2541792490999961
12;62;82;85;101;108;127;318,6.979615157375,3.9310090106885225,0.0,17.559484142403807,4.227039908078796,0.24946638357274528
68;85;127;211;225;236;257;318,7.312587249125,4.242551369985568,0.0,15.450635467013697,4.412709916194269,0.24775199069895326
12;66;86;101;140;236;257;318,6.714181804124999,3.4134243961520454,0.0,16.63102568623538,3.7150551194072468,0.24665120465983809
28;66;82;85;86;101;140;276,6.5246638013750005,3.208660373828729,0.0,17.16795201640434,3.454145823159803,0.24471450129728267
1;82;101;123;125;127;140;318,7.081195075125,4.5503449555564375,0.0,19.314963946664907,3.675974237928451,0.24030098612653034
12;62;85;91;123;127;211;318,7.303508262499999,4.287987269319274,0.018518518535714287,17.292956416888213,4.1677530534786715,0.2387367982822124
12;34;62;66;76;211;235;236,6.334058522375,3.0081084210730866,0.0,16.977148223127568,3.9851991573245944,0.23795127735521177
1;21;28;82;85;127;293;316,6.839548666125,3.850213928256876,0.0,16.807108114943983,3.9481414564885964,0.23766287482075948
12;28;62;91;101;127;236;257,6.926786978875,3.5964295492899914,0.02040816325,17.035945437046813,3.7393459555732185,0.23762064533821536
1;85;101;123;127;196;293;318,7.814560585875,5.598582808658808,0.0,17.42387729035953,3.6153574336186622,0.23742035492736213
62;82;85;127;211;233;236;266,6.713401578499999,3.383347273882883,0.01612903225,17.421986062920862,4.435699910722284,0.23739709234838058
1;28;62;82;85;86;123;211,6.7063870675,3.3527875379873526,0.015714285714285715,17.160110213853343,3.6901679990063094,0.236997852626701
1;82;85;101;127;140;211;236,7.345225070875,3.8100236640394582,0.032795031071428574,15.17083083142516,3.9335214476284848,0.23649989944582228
1;85;99;101;127;236;257;293,7.1233525019999995,4.12280751444409,0.0,15.09426966880879,3.8854039977048918,0.23641274025294515
1;12;16;62;91;101;125;236,7.059582817999999,4.333153506339713,0.0,17.38107986854111,3.594617843280332,0.2363416154061084
1;34;85;101;127;212;236;293,7.5406948236249995,4.747958486867276,0.0,14.383743140804073,3.85989434892783,0.23577004255459816
51;68;85;106;127;211;236;257,7.3214681993749995,4.625977501770583,0.0,16.177556825757026,3.949347185614477,0.23568468830596362
28;82;120;127;128;211;257;284,6.645407045875,3.1519141510622113,0.01708074535714286,16.456516373392095,3.9888154258625304,0.23566781423561334
28;68;82;101;228;233;236;284,5.5987255465,2.476073566972336,0.0,21.769962292706335,3.5245958164261952,0.2355500776232426
1;68;85;101;224;233;236;257,7.1324839835,3.8163314028918225,0.0,12.518757936337732,3.432482396302173,0.23482413775720123
28;85;101;106;127;228;257;284,6.3702027843749995,3.328604451760946,0.0,18.282422221398054,3.805162240258395,0.2344319558205344
1;28;85;123;127;211;254;293,7.33573085925,4.187258903463446,0.015714285714285715,14.991462648537786,3.5032610249705756,0.234046867455886
1;12;85;140;211;233;276;300,6.95664490075,3.5941439931006203,0.015714285714285715,15.359109621202965,3.976855345767337,0.23403279226882884
12;86;101;125;140;236;257;266,6.199173385625,3.1955261007530273,0.0,19.319700735324126,3.9389953581879995,0.2338097984541721
28;62;85;127;128;140;236;257,6.65960938825,3.47145554492185,0.018571428571428572,18.51809802531611,3.840571448104147,0.23380837083096467
12;68;121;127;140;211;233;236,6.20005767075,2.9235469389477333,0.01612903225,19.802435105523674,4.0170278435584565,0.23366710593764162
28;82;85;101;123;140;211;228,6.263813426375,2.915742754367756,0.01708074535714286,19.07371544134796,3.7610905263438212,0.23343428238722158
1;66;85;101;127;140;236;257,7.652405577250001,4.390971179409597,0.014778325107142857,12.324963047545168,3.4133418283190227,0.23335739028068725
1;28;76;82;101;228;284;318,6.24724576775,3.2372112528136543,0.0,18.942737558147048,3.5661227874236188,0.23325723614078894
5;68;91;120;127;211;284;316,6.38584493875,3.407441624668385,0.0,18.461151537181138,4.509860835544935,0.23319334490308607
1;85;101;123;127;197;212;318,7.7779661744999995,5.218564551754564,0.0,14.412592424076404,3.7057117673805116,0.23291633703687248
67;68;82;85;120;128;140;211,6.700000798375,3.6043506173442674,0.01708074535714286,18.59066630010417,3.783805872185546,0.2327973896268799
1;12;85;101;125;127;240;300,7.539805661375,4.45776423770948,0.0,11.80595745679293,3.8702806141082107,0.2326643134171451
1;12;62;66;101;122;125;236,7.002066309375,4.5206120111126715,0.0,18.82034514096112,3.2201955286022956,0.23247969266228657
125;127;140;192;211;236;257;318,6.635653850000001,3.8906687733899794,0.0,18.749821037571387,4.283231222758493,0.23235732848694074
1;62;85;101;118;120;125;127,7.600576737375,4.960908970069269,0.0,14.636486267000112,3.8403695381416463,0.2323371172847628
67;68;82;85;101;127;140;211,7.026745837375,3.737166493716806,0.01708074535714286,15.460908202979258,3.857289395087722,0.23228040717396845
91;106;140;211;228;236;254;257,6.115389528750001,2.9451235278096166,0.0,18.254753229504967,3.7468908461285877,0.23201763676915074
86;101;127;128;236;257;293;318,7.12110335775,3.7382250450560575,0.01708074535714286,14.262728824079725,3.8484401907187142,0.23197179803779178
12;66;106;118;125;211;236;266,6.426053619625,3.41349824354098,0.0,17.79833518523932,4.011593850574941,0.23185649401836528
66;82;85;101;211;233;276;284,6.892860396,3.4891596159466016,0.01708074535714286,15.174617988807768,3.8221416662857806,0.2314099583237887
1;66;92;101;140;254;257;266,6.932410953375,3.8365749685104307,0.0,14.540823035799031,3.159770813022782,0.23121987165580196
21;91;123;127;128;211;246;293,7.187057283750001,3.897766345481603,0.01708074535714286,14.445024356974638,3.7049805524102952,0.23097302966326666
12;91;128;140;211;236;266;275,6.4492772751250005,3.0140780140050247,0.01708074535714286,17.0833170728185,4.146894495797328,0.23076727898238264
1;82;101;127;140;228;266;318,6.46470193675,3.4674517873409374,0.0,17.523194476233996,3.944498914867311,0.23066489388852152
5;68;91;101;211;236;284;318,6.561339782375001,3.390391183185827,0.01708074535714286,18.312032740830723,3.6905549866126193,0.23007275095183743
28;68;85;127;128;196;211;284,6.95216335075,4.058502414609912,0.01708074535714286,18.30135729623288,3.924916388143879,0.22983725604389008
28;62;66;91;101;127;211;236,7.27119274525,3.7813067095208748,0.03185907046428572,14.648223644665551,3.5385459029287283,0.22974792379359313
1;12;62;85;123;127;196;266,7.187788110125,4.891790227003787,0.0,18.772648446664185,3.9969436536404275,0.22967924928570221
28;74;91;127;128;236;254;257,7.241063704124999,3.894059824890127,0.0,10.910960454827912,3.1861286507091817,0.2295847261998905
12;80;82;123;127;140;211;228,5.72170936375,2.7233594912449695,0.0,21.079131391886765,3.9848656012590427,0.22950358573882168
68;85;101;106;140;211;228;236,6.05624164525,2.9057716371181055,0.01708074535714286,20.90661435462653,3.726363685278712,0.22943442855867097
68;121;127;128;140;211;236;316,6.0326755825,2.7061248505309736,0.01708074535714286,19.74741324324876,4.360561610288343,0.22938069363357694
62;82;101;121;127;211;236;266,6.2401779565,2.8619108511818956,0.01708074535714286,18.325998887262053,4.355506645295887,0.2293720016348726
1;66;85;92;101;123;155;254,7.868191953625001,4.868338159137725,0.0,10.212078705984581,2.80728321296274,0.22935291152233553
1;34;91;101;127;140;257;318,7.3015915725,4.224543716120482,0.011278195500000001,14.237208288033681,3.5099233439185396,0.2292909509809174
12;91;122;140;211;236;266;275,6.282047234875,3.3247048938904538,0.0,18.501353776747482,4.111420841950195,0.22921752493560876
66;68;82;101;120;121;140;211,6.125794229125001,2.9387402261379605,0.01708074535714286,20.248267201414958,3.6207810121006996,0.22916174288807684
5;85;101;106;127;228;236;284,6.3887689175,3.4787422120318388,0.0,18.290628969444192,3.884108383852196,0.22913429148220923
12;62;82;120;127;128;140;257,6.343168588625,3.224938418569049,0.018571428571428572,19.865040274854874,3.976364070226468,0.2290901856078321
68;82;128;211;228;236;257;316,5.899496139875,2.3342414879825815,0.01708074535714286,18.632003627660513,4.529011593711795,0.22896497677910502
1;85;101;127;140;236;276;318,7.4596792370000005,4.583876689998474,0.022727272714285714,16.580150127312073,3.886903392000968,0.22886066263799057
12;127;128;197;211;228;257;266,6.29669676275,2.7509022103722285,0.01708074535714286,16.739788824888493,4.559304622839572,0.22878937386317977
1;67;91;101;127;236;300;316,7.561637901125,4.437357035455298,0.0,10.763351328410096,3.6944759121003394,0.22873586794539427
21;34;91;101;127;196;236;300,7.501067255625,4.722176362867612,0.0,13.549700785614046,3.6511281844197625,0.22867598705571585
1;82;91;127;140;236;257;293,6.6619528345,3.6717993136357867,0.018571428571428572,19.075703475981335,3.940810649030652,0.22843927071781478
28;68;85;86;127;211;257;293,6.702413148874999,3.2520298373428163,0.017857142857142856,15.434503121167037,3.830901104672293,0.22838256789538047
1;28;68;85;121;127;128;140,6.633360389125,3.52120240905825,0.015714285714285715,17.891626823253663,3.4544728674930267,0.22837748970238703
82;91;127;164;211;233;257;284,6.648018066375,3.2847308785759877,0.01612903225,16.070693526077797,4.427664410873946,0.22837729167300555
28;118;128;164;211;276;284;300,6.128658676375,2.6200407040706275,0.01708074535714286,17.76132256652475,3.9709272869882897,0.22819809072376962
1;12;34;101;125;140;235;236,6.443258876125,3.6700432525757103,0.0,18.84987734328048,3.8646136313864603,0.22818218866101558
12;85;101;106;123;140;211;266,6.3603456371250005,3.1579230762322714,0.01708074535714286,18.79611732802136,3.8842897114022565,0.22817513580406246
1;28;62;86;102;127;228;236,6.2497230335000005,3.2113290553865914,0.0,17.90248839172057,4.29746051266446,0.22810629964442075
28;82;85;86;127;140;228;316,5.8695000010000005,2.7029809552841604,0.0,18.880983376389704,4.4590536342630775,0.22800303572823458
1;66;68;85;127;211;236;318,7.70243521225,4.530859621508535,0.03049261082142857,14.276119223524782,3.9068018621890546,0.22798988826520056
86;91;128;140;211;233;236;316,6.517870281875,2.868123932619654,0.01708074535714286,14.729237445477244,4.252818886387181,0.22788266745214708
1;12;21;62;67;85;127;196,7.8714453110000004,5.609681183296411,0.0,15.232966153164481,3.68820810640305,0.22757413316113134
66;91;92;101;125;233;236;254,7.417813836124999,4.676199967595511,0.0,14.058466369793308,3.2210233051064425,0.2275489464620817
82;85;101;123;127;140;236;318,6.973278607625,4.0473871583229375,0.022727272714285714,18.458458992313076,3.856089695758443,0.2275145483543724
66;82;85;101;128;212;236;293,7.209617978625,4.1207499245329515,0.01708074535714286,15.216733895344978,3.3991736599650118,0.22747255235917058
12;91;101;140;211;235;276;322,6.44239804425,3.0914275118533316,0.01708074535714286,17.183778131267704,3.984783255073154,0.22737905359617283
1;12;82;85;101;127;233;316,7.315983328250001,3.904570415679552,0.01612903225,12.165286671589413,3.4881439423370106,0.22720376631283673
12;128;132;211;236;240;300;318,6.836132580875,3.1789083342451336,0.01708074535714286,12.949950548024223,3.950057237982908,0.2271364070243145
68;82;85;101;127;236;266;276,6.661783783500001,3.531387118143638,0.022727272714285714,18.48909603099735,4.084352640755319,0.22709641861144153
1;62;66;85;101;122;127;276,7.612893441125,4.854858943084773,0.014778325107142857,15.152254522869793,3.3151078059775636,0.22709071591628022
34;82;91;127;128;211;228;236,6.6755454615,3.075744842142085,0.01708074535714286,14.128480587306202,4.347519774991615,0.22684929957869282
