Region,Molecule_Count,Mean_Activity,Mean_Local_Sensitivity,Median_Local_Sensitivity,Mean_Cliff_Count
Hotspot,82,6.206125199914634,3.990691356382445,3.5295561963020963,0.9878048780487805
Ordinary,243,4.1201458364362145,3.872596258506887,3.510922775119869,0.8106995884773662
