Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
51,64,51,64,10.0,3.396343677,0.461538462,6.603656323,0.33963436770006605,12.263933181774883,High SALI Cliff
94,223,94,223,1.255067827,6.621097573,0.558823529,5.366029746000001,0.46339702540005356,12.163000746220298,High SALI Cliff
282,132,282,132,1.904285794,7.183120917,0.56,5.278835123,0.47211648770005277,11.997352552245463,High SALI Cliff
50,91,50,91,3.095879083,8.029717273,0.583333333,4.9338381899999995,0.5066161810000493,11.84121164649861,High SALI Cliff
91,50,91,50,8.029717273,3.095879083,0.583333333,4.9338381899999995,0.5066161810000493,11.84121164649861,High SALI Cliff
277,196,277,196,3.998300355,8.494602903,0.617647059,4.496302548000001,0.5503697452000449,11.759560515550584,High SALI Cliff
196,277,196,277,8.494602903,3.998300355,0.617647059,4.496302548000001,0.5503697452000449,11.759560515550584,High SALI Cliff
51,44,51,44,10.0,3.521570279,0.444444444,6.4784297209999995,0.35215702790006487,11.66117348845007,High SALI Cliff
85,50,85,50,8.68698047,3.095879083,0.518518519,5.591101387,0.4408898613000559,11.612287507665094,High SALI Cliff
125,131,125,131,6.788711387,0.987782903,0.5,5.800928484,0.419907151600058,11.601856967976797,High SALI Cliff
93,38,93,38,2.314355349,7.603928484,0.538461538,5.2895731349999995,0.471042686500053,11.460741781014425,High SALI Cliff
181,319,181,319,3.828807254,8.464021324,0.59375,4.635214070000001,0.5364785930000462,11.409757710741149,High SALI Cliff
319,181,319,181,8.464021324,3.828807254,0.59375,4.635214070000001,0.5364785930000462,11.409757710741149,High SALI Cliff
282,76,282,76,1.904285794,7.080023087,0.538461538,5.175737293,0.48242627070005173,11.214097456928272,High SALI Cliff
244,54,244,54,5.83618258,1.352748697,0.6,4.483433883,0.5516566117000448,11.208584707471978,High SALI Cliff
54,244,54,244,1.352748697,5.83618258,0.6,4.483433883,0.5516566117000448,11.208584707471978,High SALI Cliff
55,45,55,45,7.306877373,2.152219008,0.538461538,5.1546583649999995,0.48453416350005163,11.168426446307373,High SALI Cliff
314,56,314,56,6.407305252,2.470332215,0.64,3.9369730369999996,0.6063026963000394,10.936036213858511,High SALI Cliff
56,314,56,314,2.470332215,6.407305252,0.64,3.9369730369999996,0.6063026963000394,10.936036213858511,High SALI Cliff
173,109,173,109,3.316313111,8.558134234,0.517241379,5.241821123000001,0.4758178877000523,10.858058033497331,High SALI Cliff
94,78,94,78,1.255067827,5.507909594,0.606060606,4.252841767,0.5747158233000426,10.79567525300403,High SALI Cliff
78,94,78,94,5.507909594,1.255067827,0.606060606,4.252841767,0.5747158233000426,10.79567525300403,High SALI Cliff
93,49,93,49,2.314355349,6.898242377,0.565217391,4.5838870279999995,0.541611297200046,10.542940156995693,High SALI Cliff
49,93,49,93,6.898242377,2.314355349,0.565217391,4.5838870279999995,0.541611297200046,10.542940156995693,High SALI Cliff
208,282,208,282,6.797522325,1.904285794,0.535714286,4.893236531,0.5106763469000489,10.539278688616859,High SALI Cliff
35,42,35,42,6.917915167,2.528112479,0.583333333,4.3898026880000005,0.5610197312000438,10.535526442746296,High SALI Cliff
42,35,42,35,2.528112479,6.917915167,0.583333333,4.3898026880000005,0.5610197312000438,10.535526442746296,High SALI Cliff
10,282,10,282,5.671885784,1.904285794,0.64,3.76759999,0.6232400010000376,10.465555527748707,High SALI Cliff
282,10,282,10,1.904285794,5.671885784,0.64,3.76759999,0.6232400010000376,10.465555527748707,High SALI Cliff
132,50,132,50,7.183120917,3.095879083,0.608695652,4.087241834,0.5912758166000409,10.445173571108786,High SALI Cliff
50,132,50,132,3.095879083,7.183120917,0.608695652,4.087241834,0.5912758166000409,10.445173571108786,High SALI Cliff
