,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity,Property_Diversity
全体平均,4.646454475836922,3.9023925601247202,0.011029196689762584,12.24598947188029,3.5014630593970115
仅按活性前8,8.963407730375,8.166196610347011,0.0,8.372578372321025,3.3529379112923077
本文推荐8个,6.81531371875,3.4642829289766572,0.0,16.961409272393244,3.9156689530226463
