Generation,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity
0,5.454340457300694,4.056527291422158,0.01292147462797619,10.621179629205871
1,5.979621475318057,3.8807531073847663,0.015228014968055556,10.86430950089571
2,6.167055463203472,3.9698231959195445,0.017043799099603175,11.283682721579273
3,6.285806025993055,3.9331227473175545,0.017657584709325398,11.66180538561541
4,6.293199021529166,3.8464917821245965,0.014711434174603176,12.333613285439206
5,6.343374958542361,3.8240781040432013,0.016015632926785713,12.3947011934199
6,6.364216549871529,3.8251222132837395,0.016374477425,12.878841326440412
7,6.4511315074805555,3.880009640634644,0.01845341963551587,12.881888608768996
8,6.531273451030554,3.9083559948882796,0.019041808769047618,12.87357227694031
9,6.529816233065277,3.9092517077857223,0.020998521074801588,12.772379163552888
10,6.540597438054167,3.8201504315687895,0.02449420639246032,12.95027655999052
11,6.562059401694445,3.7988147157162424,0.025515412250198412,12.943696184770914
12,6.570050961440278,3.7832262678771094,0.025459620731349202,13.111813166849414
13,6.685982611385417,3.8396536782799,0.028573878952579367,13.16703803343607
14,6.752272451602777,3.8362857183391266,0.029269001021626984,12.889789951944078
15,6.7268830174048615,3.8034290879760735,0.031055684834325397,13.255067634994248
16,6.778561749360417,3.829379996409389,0.032607413141666666,13.202484151035524
17,6.765744905855556,3.7870185188536465,0.034278606613293655,13.044404559740283
18,6.876725250774999,3.8618487541805533,0.035733685098015874,12.856510957467275
19,6.87412705235764,3.831799199015473,0.03812126043194444,12.971199042032557
20,6.8285903550965275,3.8143384202074917,0.037836671241468244,13.158842295533436
21,6.870641820847918,3.851767986109279,0.03915902764880952,13.182101922349615
22,6.852782506203471,3.846409235694211,0.039827203750198416,13.100212967852798
23,6.864813216677778,3.890781831042392,0.04094547510615079,13.266656499105268
24,6.86155244146736,3.885289403117636,0.04046485941626984,13.197931490527578
25,6.877336922140971,3.9067074691892167,0.0438141669047619,13.356149558208083
26,6.88610847216736,3.9285507799171677,0.044132467643055555,13.33459775300321
27,6.8562759239111095,3.9488525942999217,0.04240552474900794,13.479925938637583
28,6.831808946393055,3.9278337489160373,0.04319811463412699,13.69791830540567
29,6.868749204402778,3.9936439543196203,0.043215545272420636,13.780123451490299
30,6.879541247177778,3.9893396563442183,0.04520230405654762,13.891123568782966
31,6.819341677911805,3.9047080461045076,0.04717896470515873,13.94234899226133
32,6.82642757734375,3.897526385135285,0.04715910161230159,13.976675139593201
33,6.8893299073034715,3.9878193249738345,0.047638402929166664,13.833320541599779
34,6.8699444706638895,3.9706871041174256,0.04901160833789683,13.901682258225193
35,6.9076565819625,3.9962240730032925,0.05036997562519841,13.730508456977848
36,6.793768952822916,3.945623870432254,0.049437522975595234,14.456003010306995
37,6.872232545105556,4.005054420762988,0.051989252475,14.029520050973138
38,6.8656520885201395,3.968309550539819,0.05092357240079365,13.880429393151369
39,6.900255397997221,4.043639835130389,0.051033278652380956,13.95843966142948
40,6.920640811915973,4.071737811060658,0.052355817006944444,14.215818609736116
41,6.878578960773612,4.025840612634315,0.05100549205952381,14.140026173081898
42,6.920889910581251,4.084580752804862,0.05039452519583334,14.137438556444774
43,6.880053348515973,4.0294860013062515,0.05143140875892858,14.251158035926842
44,6.939605805659724,4.115549099015439,0.052154924546230164,13.974649053993563
45,6.927008045902082,4.092642080084946,0.05324564696964286,14.235505252290134
46,6.977237908856945,4.158480285950501,0.05268596353531746,14.022681213546205
47,6.940762801907638,4.1452620622849246,0.05545205372103174,14.409683705990847
48,6.88682394989514,4.112575970666279,0.0533990007702381,14.593562840212225
49,6.962707564306945,4.18700699049815,0.05373804538809524,14.07416489013649
50,6.898051734233334,4.117057635892568,0.054666600926785706,14.542340443986465
51,6.92343411624514,4.163196378932059,0.05277196573412698,14.475720516457141
52,6.9351435322583335,4.113562424400263,0.05466475095059524,14.095751616571084
53,6.9458781532375005,4.1913508734887905,0.054758928066865074,14.361756343433585
54,6.893682468838195,4.101362067824405,0.0575544042702381,14.545630598545449
55,6.929280248488196,4.135650081002225,0.05631341094702381,14.49282011287254
56,6.945459616288195,4.14860799009495,0.05853197750694445,14.444956230073403
57,6.923696566822917,4.115405647761163,0.058159808548809526,14.48084361501608
58,6.898253293546528,4.074409106789075,0.057519772085119054,14.532925166368734
59,6.880281094327778,4.077328311957349,0.05705430425198413,14.680470763890604
60,6.8990963596743065,4.085041636579649,0.056015134661706344,14.45379271837638
61,6.981808878113195,4.212823609586341,0.057536127328373016,14.394111016181341
62,6.916149491797222,4.17684743065559,0.055959894599206354,14.870027588813484
63,6.992708204838195,4.188785983984536,0.056695850801190474,14.421933268703889
64,6.97662022046736,4.229360268914605,0.05438700568035714,14.551502329445258
65,7.007418143353472,4.259615277530041,0.057761268811309524,14.425498549416321
66,7.062621077431944,4.320843738713881,0.0576230091625,14.218487352303494
67,7.029007449217362,4.299080585601404,0.05655129839960317,14.219128540811711
68,7.027732334943055,4.330968745682745,0.05566945797400794,14.122849772612966
69,6.941470119741666,4.294331347898527,0.05476102324563492,14.731143839692525
70,6.933435468124306,4.271244284554166,0.05664016884563493,14.803430359136954
71,6.886108637186109,4.2560595316234435,0.05505008857440475,15.018867063653468
72,6.8794458095604165,4.231736660643713,0.05704055403591269,14.959074164467744
73,6.98445821941111,4.346334330100808,0.0561707449561508,14.759353014397291
74,6.973426545802085,4.3299924549886635,0.05627329957083333,14.781236880306833
75,6.9993214351631945,4.4071275283084255,0.054858455787499996,14.823852289450548
76,6.945432433586806,4.372054480192477,0.05511081730119048,15.218402974345665
77,6.971727599147222,4.405185626941297,0.05460869355753969,14.997154559474309
78,7.066059201654166,4.468547476371564,0.05358867019940476,14.5132418891444
79,6.976110337984722,4.370683377068441,0.05516207207440476,14.968447735979746
80,6.971139133468056,4.318526343319248,0.05493603734603174,14.74306768989016
81,6.888828572547221,4.247088123221065,0.05415940903174603,15.019508886819771
82,6.921685234869444,4.247840735378668,0.057405113276587295,14.823080132067245
83,6.941892747149999,4.280022708565037,0.05573916426230159,14.789801414055798
84,6.94774880515139,4.317993947344964,0.05481521957916667,14.75672451554671
85,7.009496947950696,4.376278150578528,0.055312838044841266,14.550205564114478
86,6.971003381752083,4.295318350425104,0.055712050860714284,14.599642379885331
87,6.951506056411111,4.2539417734612766,0.056133002005158736,14.49884780649687
88,6.941641526612501,4.201682681053507,0.056714820494444436,14.446971622581396
89,6.950244299470139,4.262346622276017,0.05476949813154762,14.625629945991054
90,6.994197699013194,4.2996410312304825,0.054771920269642844,14.593852554252218
91,6.909307082843055,4.244276217464238,0.05387859147857142,15.00955531529874
92,7.044777421274306,4.353309783940757,0.0534384241311508,14.308917373664796
93,6.9382915338875,4.2984642215141395,0.05234463968829366,15.023774259985455
94,6.900153796438195,4.1499952187003295,0.05538302462142858,14.83263413254279
95,6.949549905647918,4.187026001638713,0.05667683622261905,14.538186249780948
96,6.946724088927083,4.146609333763455,0.0548417266859127,14.293732999967476
97,6.942812052989584,4.232487150140362,0.05419895921904762,14.669873365605088
98,6.96572422774236,4.232017750015443,0.05486600961468254,14.404956345975632
99,6.911954411249305,4.183070937662775,0.05397820638392857,14.560422884885085
100,6.9252968318423616,4.18893676486462,0.05214379210734127,14.336304563691609
