Selected_IDs,Mean_Activity,Mean_Local_Sensitivity,Mean_Tanimoto_Similarity,Spatial_Diversity,Property_Diversity,Composite_Score
1;12;86;101;118;140;236;318,6.81531371875,3.4642829289766572,0.0,16.961409272393244,3.9156689530226463,0.28274090639157823
28;68;82;101;228;233;236;284,5.5987255465,2.476073566972336,0.0,21.769962292706335,3.5245958164261952,0.2805522271008246
28;66;82;85;86;101;140;276,6.5246638013750005,3.208660373828729,0.0,17.16795201640434,3.454145823159803,0.27721843734230384
12;66;86;101;140;236;257;318,6.714181804124999,3.4134243961520454,0.0,16.63102568623538,3.7150551194072468,0.27659079327883485
12;62;82;85;101;108;127;318,6.979615157375,3.9310090106885225,0.0,17.559484142403807,4.227039908078796,0.2757884721474259
12;68;121;127;140;211;233;236,6.20005767075,2.9235469389477333,0.01612903225,19.802435105523674,4.0170278435584565,0.2741664431875292
68;82;128;211;228;236;257;316,5.899496139875,2.3342414879825815,0.01708074535714286,18.632003627660513,4.529011593711795,0.2737765763125001
28;82;85;101;123;140;211;228,6.263813426375,2.915742754367756,0.01708074535714286,19.07371544134796,3.7610905263438212,0.2732935845057205
12;34;62;66;76;211;235;236,6.334058522375,3.0081084210730866,0.0,16.977148223127568,3.9851991573245944,0.27304555807945224
12;80;82;123;127;140;211;228,5.72170936375,2.7233594912449695,0.0,21.079131391886765,3.9848656012590427,0.27284694211645627
68;121;127;128;140;211;236;316,6.0326755825,2.7061248505309736,0.01708074535714286,19.74741324324876,4.360561610288343,0.272367205502378
1;82;85;101;118;140;164;254,6.77186397975,3.512320376383558,0.0,16.06058637479846,3.647405553003085,0.2722096452232943
68;85;101;106;140;211;228;236,6.05624164525,2.9057716371181055,0.01708074535714286,20.90661435462653,3.726363685278712,0.2720831387902142
82;85;127;140;211;225;257;266,6.6890846155000006,3.4228132029758553,0.0,16.18610935727496,4.5159351241561,0.2718065916571162
62;82;85;127;211;233;236;266,6.713401578499999,3.383347273882883,0.01612903225,17.421986062920862,4.435699910722284,0.2709647301292365
66;68;82;101;120;121;140;211,6.125794229125001,2.9387402261379605,0.01708074535714286,20.248267201414958,3.6207810121006996,0.2708764682007371
12;86;101;125;140;236;257;266,6.199173385625,3.1955261007530273,0.0,19.319700735324126,3.9389953581879995,0.27069892194183376
1;28;62;82;85;86;123;211,6.7063870675,3.3527875379873526,0.015714285714285715,17.160110213853343,3.6901679990063094,0.2705714194304753
12;62;82;128;140;211;236;266,5.7638358945,2.308567682135245,0.03565217392857143,21.48007356120317,4.317697783443262,0.27048102239115906
28;82;120;127;128;211;257;284,6.645407045875,3.1519141510622113,0.01708074535714286,16.456516373392095,3.9888154258625304,0.2703875357169551
12;66;80;82;211;228;236;284,5.4790644695,2.435570468568466,0.0,21.052944284349074,3.943087276304167,0.27035255934118885
91;106;140;211;228;236;254;257,6.115389528750001,2.9451235278096166,0.0,18.254753229504967,3.7468908461285877,0.2700605413281504
28;118;128;164;211;276;284;300,6.128658676375,2.6200407040706275,0.01708074535714286,17.76132256652475,3.9709272869882897,0.2699123364810299
68;85;127;211;225;236;257;318,7.312587249125,4.242551369985568,0.0,15.450635467013697,4.412709916194269,0.2695866682880557
62;82;101;121;127;211;236;266,6.2401779565,2.8619108511818956,0.01708074535714286,18.325998887262053,4.355506645295887,0.26956369327590385
1;28;76;82;101;228;284;318,6.24724576775,3.2372112528136543,0.0,18.942737558147048,3.5661227874236188,0.2694996155032269
28;82;85;86;127;140;228;316,5.8695000010000005,2.7029809552841604,0.0,18.880983376389704,4.4590536342630775,0.2693741318615128
12;28;62;91;101;127;236;257,6.926786978875,3.5964295492899914,0.02040816325,17.035945437046813,3.7393459555732185,0.26926058855829904
